Temps (s),Consigne flèche (deg),Consigne balancier (deg),Consigne godet (deg),Gamma 1 (deg),Gamma 2 (deg),Gamma 3 (deg),Gamma 5 (deg),Vitesse axe flèche (deg/s),Vitesse axe balancier (deg/s),Vitesse axe godet (deg/s),Vitesse axe triangle (deg/s),Consigne X (mm),Consigne Y (mm),Consigne gamma (deg),X (mm),Y (mm),Gamma (deg),Consigne vitesse vérin 1 (mm/s),Consigne vitesse vérin 2 (mm/s),Consigne vitesse vérin 3 (mm/s),Vitesse vérin 1 (mm/s),Vitesse vérin 2 (mm/s),Vitesse vérin 3 (mm/s),Longueur vérin 1 (mm),Longueur vérin 2 (mm),Longueur vérin 3 (mm),Force vérin 1 (N),Force vérin 2 (N),Force vérin 3 (N),Courant vérin 1 (A),Courant vérin 2 (A),Courant vérin 3 (A),Tension vérin 1 (V),Tension vérin 2 (V),Tension vérin 3 (V),Puissance vérin 1 (W),Puissance vérin 2 (W),Puissance vérin 3 (W),Energie vérin 1 (J),Energie vérin 2 (J),Energie vérin 3 (J),Puissance mécanique vérin 1 (W),Puissance mécanique vérin 2 (W),Puissance mécanique vérin 3 (W),Angle moteur vérin 1 (rad),Angle moteur vérin 2 (rad),Angle moteur vérin 3 (rad),Vitesse moteur vérin 1 (rad/s),Vitesse moteur vérin 2 (rad/s),Vitesse moteur vérin 3 (rad/s),Butée flèche,Butée balancier,Butée godet,Butée sol
1.298,73.908,-83.957,72.000,74.960,-83.398,70.321,77.342,-3.852,-2.201,-0.006,-0.005,439.5,447.3,35.0,431.7,458.2,3.5,6.313,1.118,-2.519,6.161,1.250,-2.524,7.7,14.0,0.1,-76.9,-116.5,-10.0,0.547,0.498,-0.136,12.97,5.10,-7.37,7.08,2.55,0.07,7.41,3.27,0.76,0.45,0.14,0.02,345.847,627.614,2.375,277.174,56.256,-113.526,0,0,0,0
1.328,73.827,-83.992,72.000,74.881,-83.438,70.323,77.343,-3.862,-2.184,-0.006,-0.005,440.1,446.5,35.0,432.3,457.4,3.4,6.325,1.106,-2.515,6.176,1.239,-2.524,7.8,14.0,0.1,-74.0,-112.6,-8.5,0.546,0.498,-0.136,13.00,5.09,-7.40,7.09,2.54,1.00,7.55,3.32,0.78,0.47,0.15,0.03,351.543,628.707,2.315,277.855,55.745,-113.526,0,0,0,0
1.335,73.745,-84.026,72.000,74.802,-83.478,70.321,77.343,-3.873,-2.166,-0.006,-0.005,440.7,445.7,35.0,432.9,456.5,3.3,6.337,1.094,-2.518,6.191,1.228,-2.524,7.9,14.0,0.1,-74.3,-112.6,-8.5,0.546,0.498,-0.136,13.02,5.07,-7.37,7.10,2.54,1.01,7.69,3.37,0.80,0.46,0.14,0.02,357.250,629.792,2.364,278.520,55.231,-113.529,0,0,0,0
1.360,73.664,-84.060,72.000,74.722,-83.518,70.324,77.343,-3.883,-2.149,-0.006,-0.005,441.3,444.9,35.0,433.5,455.7,3.1,6.349,1.082,-2.515,6.205,1.216,-2.523,8.1,14.0,0.1,-74.6,-112.6,-8.6,0.546,0.498,-0.136,13.04,5.06,-7.40,7.11,2.53,1.01,7.84,3.42,0.82,0.46,0.14,0.02,362.969,630.867,2.304,279.168,54.714,-113.504,0,0,0,0
1.375,73.583,-84.093,72.000,74.643,-83.558,70.322,77.343,-3.893,-2.132,-0.006,-0.005,441.9,444.1,35.0,434.1,454.9,3.0,6.360,1.070,-2.518,6.220,1.205,-2.523,8.2,14.0,0.1,-74.9,-112.6,-8.6,0.546,0.498,-0.136,13.06,5.05,-7.38,7.12,2.52,1.01,7.98,3.47,0.84,0.46,0.14,0.02,368.699,631.932,2.353,279.802,54.194,-113.506,0,0,0,0
1.406,73.501,-84.126,72.000,74.563,-83.597,70.324,77.343,-3.902,-2.114,-0.006,-0.005,442.5,443.3,35.0,434.7,454.1,2.9,6.372,1.058,-2.514,6.233,1.193,-2.520,8.3,14.1,0.1,-75.2,-112.6,-8.6,0.545,0.498,-0.136,13.08,5.03,-7.40,7.13,2.51,1.01,8.12,3.52,0.86,0.47,0.14,0.02,374.440,632.988,2.293,280.422,53.672,-113.358,0,0,0,0
1.422,73.419,-84.159,72.000,74.483,-83.636,70.322,77.343,-3.912,-2.097,-0.006,-0.005,443.1,442.5,35.0,435.3,453.3,2.8,6.383,1.046,-2.517,6.247,1.181,-2.520,8.5,14.1,0.1,-75.5,-112.6,-8.6,0.545,0.498,-0.136,13.10,5.02,-7.38,7.14,2.51,1.01,8.26,3.57,0.88,0.47,0.13,0.02,380.192,634.035,2.342,281.030,53.147,-113.359,0,0,0,0
1.438,73.338,-84.191,72.000,74.403,-83.674,70.325,77.343,-3.921,-2.079,-0.006,-0.005,443.7,441.7,35.0,435.9,452.5,2.7,6.394,1.034,-2.513,6.260,1.170,-2.512,8.6,14.1,0.1,-75.8,-112.5,-8.6,0.545,0.498,-0.136,13.12,5.00,-7.39,7.14,2.50,1.01,8.41,3.62,0.90,0.47,0.13,0.02,385.956,635.072,2.282,281.625,52.621,-113.011,0,0,0,0
1.469,73.256,-84.223,72.000,74.323,-83.712,70.322,77.343,-3.930,-2.062,-0.006,-0.005,444.3,440.9,35.0,436.5,451.7,2.5,6.405,1.022,-2.516,6.273,1.158,-2.512,8.7,14.1,0.1,-76.2,-112.5,-8.6,0.545,0.498,-0.136,13.14,4.99,-7.39,7.15,2.49,1.01,8.55,3.67,0.92,0.47,0.13,0.02,391.730,636.099,2.331,282.210,52.091,-113.012,0,0,0,0
1.475,73.173,-84.255,72.000,74.243,-83.750,70.321,77.343,-3.940,-2.044,0.027,0.021,444.9,440.1,35.0,437.1,450.9,2.4,6.416,1.010,-2.518,6.286,1.146,-2.508,8.8,14.2,0.1,-74.8,-110.4,-7.9,0.545,0.498,-0.124,13.16,4.98,-7.37,7.16,2.49,1.01,8.69,3.72,0.94,0.48,0.13,0.02,397.514,637.116,2.361,282.784,51.558,-112.812,0,0,0,0
1.500,73.091,-84.286,72.000,74.162,-83.787,70.323,77.344,-3.948,-2.026,0.027,0.021,445.5,439.3,35.0,437.7,450.1,2.3,6.427,0.998,-2.516,6.298,1.134,-2.508,9.0,14.2,0.1,-76.8,-112.5,-8.7,0.544,0.498,-0.124,13.18,4.96,-7.40,7.17,2.48,0.92,8.84,3.77,0.96,0.47,0.13,0.02,403.310,638.120,2.320,283.349,51.022,-112.810,0,0,0,0
1.516,73.009,-84.317,72.000,74.082,-83.824,70.321,77.344,-3.957,-2.008,0.027,0.021,446.1,438.5,35.0,438.3,449.3,2.2,6.437,0.986,-2.519,6.311,1.122,-2.508,9.1,14.2,0.1,-77.1,-112.5,-8.7,0.544,0.498,-0.124,13.20,4.95,-7.37,7.18,2.47,0.92,8.98,3.82,0.98,0.48,0.13,0.02,409.115,639.114,2.368,283.905,50.483,-112.812,0,0,0,0
1.548,72.926,-84.347,72.000,74.001,-83.860,70.323,77.344,-3.966,-1.989,0.027,0.021,446.7,437.7,35.0,438.9,448.5,2.1,6.448,0.974,-2.515,6.323,1.110,-2.507,9.2,14.2,0.1,-77.4,-112.5,-8.7,0.544,0.498,-0.124,13.22,4.94,-7.40,7.18,2.46,0.92,9.12,3.87,1.00,0.49,0.13,0.02,414.931,640.096,2.309,284.452,49.942,-112.806,0,0,0,0
1.564,72.843,-84.377,72.000,73.920,-83.896,70.321,77.344,-3.975,-1.971,0.027,0.021,447.3,436.9,35.0,439.5,447.7,2.0,6.459,0.962,-2.518,6.335,1.098,-2.508,9.4,14.2,0.1,-77.7,-112.5,-8.7,0.544,0.498,-0.124,13.24,4.92,-7.38,7.19,2.46,0.92,9.27,3.92,1.01,0.49,0.12,0.02,420.757,641.067,2.358,284.992,49.400,-112.808,0,0,0,0
1.580,72.760,-84.407,72.000,73.839,-83.932,70.324,77.344,-3.983,-1.952,0.027,0.021,447.9,436.1,35.0,440.1,446.9,1.8,6.469,0.951,-2.514,6.347,1.086,-2.507,9.5,14.3,0.1,-78.0,-112.4,-8.7,0.544,0.498,-0.124,13.26,4.91,-7.40,7.20,2.45,0.92,9.41,3.97,1.03,0.49,0.12,0.02,426.594,642.028,2.298,285.523,48.857,-112.766,0,0,0,0
1.596,72.677,-84.436,72.000,73.757,-83.967,70.322,77.344,-3.992,-1.933,0.027,0.021,448.5,435.3,35.0,440.7,446.1,1.7,6.479,0.939,-2.517,6.358,1.074,-2.507,9.6,14.3,0.1,-78.3,-112.4,-8.7,0.544,0.498,-0.124,13.27,4.90,-7.38,7.21,2.44,0.92,9.55,4.02,1.05,0.50,0.12,0.02,432.440,642.978,2.347,286.048,48.314,-112.767,0,0,0,0
1.626,72.594,-84.465,72.000,73.676,-84.002,70.324,77.344,-4.000,-1.914,0.027,0.021,449.1,434.5,35.0,441.3,445.3,1.6,6.489,0.928,-2.513,6.370,1.062,-2.503,9.7,14.3,0.1,-78.6,-112.4,-8.7,0.543,0.498,-0.124,13.29,4.89,-7.40,7.22,2.44,0.92,9.70,4.07,1.07,0.50,0.12,0.02,438.297,643.917,2.287,286.566,47.771,-112.593,0,0,0,0
1.642,72.511,-84.494,72.000,73.594,-84.036,70.322,77.344,-4.008,-1.895,0.027,0.021,449.7,433.7,35.0,441.9,444.5,1.5,6.500,0.916,-2.517,6.381,1.050,-2.503,9.9,14.3,0.1,-78.9,-112.4,-8.7,0.543,0.498,-0.124,13.31,4.87,-7.39,7.22,2.43,0.92,9.84,4.12,1.09,0.50,0.12,0.02,444.163,644.846,2.336,287.078,47.228,-112.595,0,0,0,0
1.658,72.428,-84.522,72.000,73.512,-84.070,70.323,77.344,-4.016,-1.876,0.041,0.031,450.3,432.9,35.0,442.5,443.6,1.4,6.510,0.905,-2.515,6.393,1.038,-2.504,10.0,14.4,0.1,-77.9,-110.7,-8.2,0.543,0.498,-0.119,13.33,4.86,-7.38,7.23,2.43,0.92,9.99,4.16,1.11,0.50,0.12,0.02,450.039,645.765,2.308,287.583,46.685,-112.631,0,0,0,0
1.689,72.344,-84.550,72.000,73.431,-84.104,70.323,77.344,-4.024,-1.857,0.041,0.031,450.9,432.1,35.0,443.1,442.8,1.3,6.520,0.893,-2.516,6.404,1.026,-2.504,10.1,14.4,0.1,-79.6,-112.3,-8.8,0.543,0.498,-0.119,13.35,4.85,-7.39,7.24,2.42,0.88,10.13,4.21,1.12,0.50,0.11,0.02,455.925,646.674,2.325,288.083,46.143,-112.631,0,0,0,0
1.694,72.260,-84.578,72.000,73.349,-84.137,70.321,77.344,-4.032,-1.838,0.004,0.003,451.5,431.3,35.0,443.7,442.0,1.1,6.530,0.882,-2.519,6.415,1.014,-2.514,10.3,14.4,0.1,-83.4,-116.7,-10.4,0.543,0.498,-0.133,13.37,4.84,-7.37,7.25,2.41,0.88,10.28,4.26,1.14,0.51,0.12,0.02,461.820,647.572,2.373,288.578,45.603,-113.116,0,0,0,0
1.720,72.176,-84.605,72.000,73.266,-84.170,70.323,77.344,-4.040,-1.818,0.004,0.003,452.1,430.5,35.0,444.3,441.2,1.0,6.539,0.871,-2.515,6.425,1.002,-2.514,10.4,14.4,0.1,-80.2,-112.3,-8.8,0.543,0.497,-0.133,13.38,4.83,-7.40,7.25,2.41,0.98,10.42,4.31,1.16,0.54,0.12,0.03,467.725,648.460,2.314,289.067,45.063,-113.114,0,0,0,0
1.736,72.092,-84.632,72.000,73.184,-84.202,70.321,77.344,-4.048,-1.799,0.004,0.003,452.7,429.7,35.0,444.9,440.4,0.9,6.549,0.859,-2.518,6.436,0.990,-2.514,10.5,14.4,0.1,-80.5,-112.3,-8.8,0.542,0.497,-0.133,13.40,4.81,-7.38,7.26,2.40,0.98,10.57,4.36,1.18,0.52,0.11,0.02,473.639,649.338,2.363,289.551,44.525,-113.115,0,0,0,0
1.767,72.008,-84.658,72.000,73.101,-84.234,70.324,77.344,-4.056,-1.779,0.004,0.003,453.3,428.9,35.0,445.5,439.6,0.8,6.559,0.848,-2.514,6.447,0.978,-2.514,10.7,14.5,0.1,-80.8,-112.3,-8.8,0.542,0.497,-0.133,13.42,4.80,-7.40,7.27,2.39,0.98,10.71,4.41,1.20,0.52,0.11,0.02,479.563,650.206,2.303,290.030,43.988,-113.094,0,0,0,0
1.774,71.924,-84.684,72.000,73.019,-84.266,70.322,77.344,-4.064,-1.760,0.004,0.003,453.9,428.1,35.0,446.1,438.8,0.7,6.568,0.837,-2.517,6.457,0.966,-2.514,10.8,14.5,0.1,-81.1,-112.2,-8.8,0.542,0.497,-0.133,13.43,4.79,-7.38,7.27,2.39,0.98,10.86,4.45,1.22,0.52,0.11,0.02,485.496,651.063,2.352,290.505,43.452,-113.095,0,0,0,0
1.799,71.840,-84.710,72.000,72.936,-84.297,70.324,77.344,-4.072,-1.740,0.004,0.003,454.5,427.3,35.0,446.7,438.0,0.6,6.578,0.825,-2.514,6.468,0.954,-2.514,10.9,14.5,0.1,-81.4,-112.2,-8.8,0.542,0.497,-0.133,13.45,4.78,-7.40,7.28,2.38,0.98,11.00,4.50,1.24,0.52,0.11,0.02,491.438,651.911,2.292,290.975,42.919,-113.096,0,0,0,0
1.815,71.755,-84.735,72.000,72.853,-84.328,70.322,77.344,-4.079,-1.721,0.004,0.003,455.1,426.5,35.0,447.3,437.2,0.5,6.587,0.814,-2.517,6.478,0.942,-2.514,11.1,14.5,0.1,-81.8,-112.2,-8.9,0.542,0.497,-0.133,13.47,4.77,-7.39,7.29,2.38,0.98,11.15,4.55,1.26,0.53,0.11,0.02,497.390,652.748,2.341,291.441,42.387,-113.097,0,0,0,0
1.847,71.671,-84.760,72.000,72.770,-84.359,70.325,77.345,-4.087,-1.701,0.004,0.003,455.7,425.7,35.0,447.9,436.4,0.3,6.597,0.803,-2.513,6.489,0.930,-2.514,11.2,14.5,0.1,-82.1,-112.2,-8.9,0.541,0.497,-0.133,13.49,4.75,-7.39,7.30,2.37,0.98,11.30,4.60,1.28,0.53,0.11,0.02,503.350,653.576,2.281,291.903,41.856,-113.099,0,0,0,0
1.863,71.586,-84.785,72.000,72.687,-84.389,70.323,77.345,-4.095,-1.681,0.004,0.003,456.3,424.9,35.0,448.5,435.6,0.2,6.606,0.791,-2.516,6.499,0.919,-2.514,11.3,14.5,0.1,-82.4,-112.1,-8.9,0.541,0.497,-0.133,13.50,4.74,-7.39,7.30,2.36,0.98,11.44,4.64,1.30,0.53,0.10,0.02,509.320,654.393,2.330,292.361,41.328,-113.100,0,0,0,0
1.879,71.501,-84.809,72.000,72.603,-84.419,70.321,77.345,-4.102,-1.662,0.004,0.003,456.9,424.1,35.0,449.1,434.8,0.1,6.615,0.780,-2.518,6.509,0.907,-2.514,11.5,14.6,0.1,-81.0,-110.0,-8.1,0.541,0.497,-0.133,13.52,4.73,-7.37,7.31,2.36,0.98,11.59,4.69,1.32,0.54,0.10,0.02,515.299,655.200,2.361,292.814,40.803,-113.100,0,0,0,0
1.895,71.416,-84.833,72.000,72.520,-84.448,70.323,77.345,-4.110,-1.643,0.004,0.003,457.5,423.3,35.0,449.7,434.0,0.0,6.624,0.769,-2.515,6.519,0.895,-2.514,11.6,14.6,0.1,-83.0,-112.1,-8.9,0.541,0.497,-0.133,13.54,4.72,-7.40,7.32,2.35,0.98,11.73,4.74,1.34,0.53,0.10,0.02,521.286,655.997,2.319,293.265,40.282,-113.101,0,0,0,0
1.926,71.331,-84.856,72.000,72.436,-84.477,70.321,77.345,-4.117,-1.623,0.004,0.003,458.1,422.5,35.0,450.3,433.2,-0.1,6.634,0.758,-2.518,6.529,0.884,-2.514,11.7,14.6,0.1,-83.3,-112.1,-8.9,0.541,0.497,-0.133,13.55,4.71,-7.37,7.32,2.35,0.98,11.88,4.78,1.36,0.54,0.10,0.02,527.283,656.784,2.368,293.711,39.764,-113.101,0,0,0,0
1.942,71.245,-84.879,72.000,72.352,-84.506,70.324,77.345,-4.124,-1.604,0.004,0.003,458.7,421.7,35.0,450.9,432.4,-0.2,6.643,0.746,-2.515,6.539,0.872,-2.514,11.9,14.6,0.1,-83.7,-112.1,-8.9,0.541,0.497,-0.133,13.57,4.69,-7.40,7.33,2.34,0.98,12.03,4.83,1.38,0.54,0.10,0.02,533.288,657.561,2.309,294.154,39.249,-113.101,0,0,0,0
1.957,71.160,-84.902,72.000,72.269,-84.534,70.321,77.345,-4.132,-1.585,0.004,0.003,459.3,420.9,35.0,451.5,431.6,-0.3,6.652,0.735,-2.518,6.548,0.861,-2.514,12.0,14.6,0.1,-84.0,-112.0,-8.9,0.540,0.497,-0.133,13.58,4.68,-7.38,7.34,2.33,0.98,12.17,4.88,1.40,0.55,0.10,0.02,539.302,658.328,2.357,294.593,38.735,-113.101,0,0,0,0
1.989,71.074,-84.924,72.000,72.184,-84.562,70.324,77.345,-4.139,-1.566,0.004,0.003,459.9,420.1,35.0,452.1,430.8,-0.4,6.660,0.724,-2.514,6.558,0.850,-2.514,12.1,14.7,0.1,-84.3,-112.0,-9.0,0.540,0.497,-0.133,13.60,4.67,-7.40,7.34,2.33,0.98,12.32,4.92,1.42,0.55,0.10,0.02,545.324,659.085,2.298,295.029,38.223,-113.101,0,0,0,0
1.996,70.989,-84.946,72.000,72.100,-84.590,70.322,77.345,-4.146,-1.547,0.004,0.003,460.5,419.3,35.0,452.7,429.9,-0.6,6.669,0.713,-2.517,6.568,0.838,-2.514,12.3,14.7,0.1,-84.6,-112.0,-9.0,0.540,0.497,-0.133,13.62,4.66,-7.38,7.35,2.32,0.98,12.47,4.97,1.44,0.55,0.10,0.02,551.355,659.832,2.347,295.461,37.712,-113.101,0,0,0,0
2.021,70.903,-84.968,72.000,72.016,-84.617,70.324,77.345,-4.154,-1.528,0.004,0.003,461.1,418.5,35.0,453.3,429.1,-0.7,6.678,0.702,-2.513,6.577,0.827,-2.514,12.4,14.7,0.1,-84.9,-112.0,-9.0,0.540,0.497,-0.133,13.63,4.65,-7.40,7.35,2.32,0.98,12.62,5.02,1.46,0.56,0.09,0.02,557.395,660.569,2.287,295.890,37.202,-113.101,0,0,0,0
2.037,70.817,-84.989,72.000,71.931,-84.644,70.322,77.345,-4.161,-1.510,0.004,0.003,461.7,417.7,35.0,453.9,428.3,-0.8,6.687,0.690,-2.516,6.587,0.816,-2.514,12.5,14.7,0.1,-85.3,-111.9,-9.0,0.540,0.497,-0.133,13.65,4.63,-7.39,7.36,2.31,0.98,12.76,5.06,1.48,0.56,0.09,0.02,563.443,661.296,2.336,296.316,36.693,-113.101,0,0,0,0
2.066,70.731,-85.010,72.000,71.847,-84.670,70.324,77.345,-4.168,-1.491,-0.010,-0.008,462.3,416.9,35.0,454.5,427.5,-0.9,6.696,0.679,-2.514,6.596,0.804,-2.513,12.7,14.7,0.1,-84.4,-110.5,-8.5,0.540,0.497,-0.138,13.66,4.62,-7.38,7.37,2.30,0.98,12.91,5.11,1.50,0.56,0.09,0.02,569.500,662.013,2.292,296.739,36.185,-113.067,0,0,0,0
2.081,70.645,-85.030,72.000,71.762,-84.696,70.323,77.345,-4.175,-1.472,-0.010,-0.008,462.9,416.1,35.0,455.1,426.7,-1.0,6.704,0.668,-2.516,6.605,0.793,-2.513,12.8,14.7,0.1,-85.9,-111.9,-9.0,0.539,0.497,-0.138,13.68,4.61,-7.39,7.37,2.30,1.02,13.06,5.15,1.52,0.56,0.09,0.02,575.565,662.720,2.326,297.158,35.678,-113.068,0,0,0,0
2.097,70.558,-85.050,72.000,71.677,-84.722,70.321,77.345,-4.182,-1.453,-0.010,-0.008,463.5,415.3,35.0,455.7,425.9,-1.1,6.713,0.657,-2.519,6.615,0.782,-2.513,12.9,14.7,0.1,-89.8,-116.2,-10.7,0.539,0.497,-0.138,13.69,4.60,-7.37,7.38,2.29,1.02,13.20,5.20,1.54,0.57,0.09,0.02,581.638,663.417,2.374,297.575,35.170,-113.068,0,0,0,0
2.128,70.472,-85.070,72.000,71.592,-84.747,70.323,77.345,-4.189,-1.435,-0.010,-0.008,464.1,414.5,35.0,456.3,425.1,-1.2,6.721,0.646,-2.515,6.624,0.771,-2.513,13.1,14.8,0.1,-86.6,-111.8,-9.0,0.539,0.497,-0.138,13.71,4.59,-7.40,7.38,2.29,1.02,13.35,5.25,1.56,0.59,0.09,0.03,587.720,664.104,2.315,297.988,34.664,-113.067,0,0,0,0
2.135,70.385,-85.090,72.000,71.507,-84.772,70.321,77.345,-4.196,-1.416,-0.010,-0.008,464.7,413.7,35.0,456.9,424.3,-1.3,6.730,0.634,-2.518,6.633,0.759,-2.513,13.2,14.8,0.1,-86.9,-111.8,-9.1,0.539,0.497,-0.138,13.72,4.57,-7.37,7.39,2.28,1.02,13.50,5.29,1.58,0.57,0.09,0.02,593.809,664.781,2.364,298.399,34.158,-113.066,0,0,0,0
2.160,70.299,-85.109,72.000,71.422,-84.797,70.324,77.345,-4.203,-1.397,-0.010,-0.008,465.3,412.9,35.0,457.5,423.5,-1.4,6.738,0.623,-2.514,6.642,0.748,-2.514,13.3,14.8,0.1,-87.2,-111.8,-9.1,0.539,0.497,-0.138,13.74,4.56,-7.40,7.40,2.27,1.02,13.65,5.34,1.60,0.58,0.08,0.02,599.907,665.448,2.304,298.806,33.652,-113.088,0,0,0,0
2.175,70.212,-85.127,72.000,71.336,-84.821,70.322,77.345,-4.210,-1.379,-0.010,-0.008,465.9,412.1,35.0,458.1,422.7,-1.6,6.746,0.612,-2.517,6.651,0.737,-2.514,13.5,14.8,0.1,-87.5,-111.8,-9.1,0.539,0.497,-0.138,13.75,4.55,-7.38,7.40,2.27,1.02,13.80,5.38,1.62,0.58,0.08,0.02,606.013,666.105,2.353,299.210,33.147,-113.088,0,0,0,0
2.206,70.125,-85.146,72.000,71.251,-84.845,70.324,77.345,-4.217,-1.360,-0.010,-0.008,466.5,411.3,35.0,458.7,421.9,-1.7,6.754,0.601,-2.514,6.660,0.726,-2.516,13.6,14.8,0.1,-87.9,-111.7,-9.1,0.538,0.497,-0.138,13.77,4.54,-7.40,7.41,2.26,1.02,13.94,5.43,1.64,0.58,0.08,0.02,612.127,666.752,2.293,299.612,32.641,-113.175,0,0,0,0
2.221,70.038,-85.163,72.000,71.165,-84.869,70.322,77.345,-4.224,-1.341,-0.010,-0.008,467.1,410.5,35.0,459.3,421.1,-1.8,6.763,0.590,-2.517,6.669,0.714,-2.516,13.7,14.8,0.1,-88.2,-111.7,-9.1,0.538,0.497,-0.138,13.78,4.53,-7.39,7.41,2.26,1.02,14.09,5.47,1.66,0.59,0.08,0.02,618.248,667.389,2.343,300.010,32.137,-113.174,0,0,0,0
2.236,69.951,-85.181,72.000,71.079,-84.892,70.325,77.345,-4.231,-1.323,-0.010,-0.008,467.7,409.7,35.0,459.9,420.3,-1.9,6.771,0.579,-2.513,6.678,0.703,-2.516,13.9,14.8,0.1,-88.5,-111.7,-9.1,0.538,0.497,-0.138,13.80,4.51,-7.39,7.42,2.25,1.02,14.24,5.52,1.68,0.59,0.08,0.02,624.378,668.016,2.283,300.406,31.632,-113.173,0,0,0,0
2.268,69.863,-85.198,72.000,70.993,-84.914,70.323,77.345,-4.238,-1.304,-0.010,-0.008,468.3,408.9,35.0,460.5,419.5,-2.0,6.779,0.567,-2.516,6.686,0.692,-2.516,14.0,14.9,0.1,-88.9,-111.7,-9.1,0.538,0.497,-0.138,13.81,4.50,-7.39,7.42,2.24,1.02,14.39,5.56,1.70,0.59,0.08,0.02,630.515,668.633,2.332,300.798,31.128,-113.172,0,0,0,0
2.284,69.776,-85.215,72.000,70.907,-84.937,70.323,77.345,-4.245,-1.285,-0.028,-0.022,468.9,408.1,35.0,461.1,418.7,-2.1,6.787,0.556,-2.516,6.695,0.681,-2.519,14.2,14.9,0.1,-87.7,-109.8,-8.4,0.538,0.497,-0.144,13.83,4.49,-7.37,7.43,2.24,1.02,14.54,5.61,1.72,0.59,0.08,0.02,636.661,669.240,2.330,301.188,30.624,-113.333,0,0,0,0
2.300,69.688,-85.231,72.000,70.821,-84.959,70.323,77.345,-4.252,-1.267,-0.028,-0.022,469.5,407.3,35.0,461.7,417.9,-2.2,6.795,0.545,-2.515,6.704,0.669,-2.519,14.3,14.9,0.1,-89.5,-111.6,-9.1,0.538,0.497,-0.144,13.84,4.48,-7.40,7.43,2.23,1.07,14.69,5.65,1.74,0.59,0.07,0.02,642.813,669.834,2.322,301.575,30.118,-113.334,0,0,0,0
2.316,69.601,-85.247,72.000,70.734,-84.980,70.321,77.345,-4.258,-1.248,-0.028,-0.022,470.1,406.5,35.0,462.3,417.0,-2.3,6.802,0.534,-2.518,6.712,0.658,-2.519,14.4,14.9,0.1,-89.9,-111.6,-9.2,0.537,0.497,-0.144,13.85,4.47,-7.37,7.44,2.23,1.07,14.84,5.70,1.76,0.60,0.07,0.02,648.974,670.417,2.370,301.960,29.610,-113.333,0,0,0,0
2.348,69.513,-85.263,72.000,70.648,-85.001,70.324,77.345,-4.265,-1.228,-0.028,-0.022,470.7,405.7,35.0,462.9,416.2,-2.4,6.810,0.524,-2.515,6.721,0.647,-2.519,14.6,14.9,0.1,-90.2,-111.6,-9.2,0.537,0.497,-0.144,13.87,4.46,-7.40,7.44,2.22,1.07,14.98,5.74,1.78,0.60,0.07,0.02,655.142,670.988,2.311,302.341,29.102,-113.340,0,0,0,0
2.364,69.425,-85.278,72.000,70.561,-85.022,70.321,77.345,-4.272,-1.209,-0.028,-0.022,471.3,404.9,35.0,463.5,415.4,-2.5,6.818,0.513,-2.518,6.729,0.636,-2.519,14.7,14.9,0.1,-90.5,-111.5,-9.2,0.537,0.497,-0.144,13.88,4.45,-7.38,7.45,2.21,1.07,15.13,5.79,1.80,0.61,0.07,0.02,661.318,671.547,2.360,302.719,28.594,-113.339,0,0,0,0
2.379,69.337,-85.293,72.000,70.474,-85.042,70.324,77.345,-4.279,-1.190,-0.028,-0.022,471.9,404.1,35.0,464.1,414.6,-2.6,6.826,0.503,-2.514,6.737,0.624,-2.520,14.8,14.9,0.1,-90.8,-111.5,-9.2,0.537,0.497,-0.144,13.90,4.44,-7.40,7.45,2.21,1.07,15.28,5.83,1.83,0.61,0.07,0.02,667.501,672.095,2.300,303.095,28.087,-113.382,0,0,0,0
2.410,69.249,-85.308,72.000,70.388,-85.062,70.322,77.345,-4.285,-1.170,-0.028,-0.022,472.5,403.3,35.0,464.7,413.8,-2.7,6.833,0.492,-2.517,6.746,0.613,-2.520,15.0,15.0,0.1,-91.2,-111.5,-9.2,0.537,0.497,-0.144,13.91,4.43,-7.38,7.46,2.20,1.07,15.43,5.87,1.85,0.61,0.07,0.02,673.691,672.632,2.350,303.468,27.581,-113.381,0,0,0,0
2.416,69.160,-85.322,72.000,70.301,-85.081,70.324,77.345,-4.292,-1.151,-0.028,-0.022,473.1,402.5,35.0,465.3,413.0,-2.8,6.841,0.482,-2.513,6.754,0.602,-2.524,15.1,15.0,0.1,-91.5,-111.4,-9.2,0.536,0.497,-0.144,13.92,4.41,-7.40,7.46,2.20,1.07,15.58,5.92,1.87,0.62,0.07,0.02,679.889,673.159,2.290,303.838,27.076,-113.556,0,0,0,0
2.441,69.072,-85.336,72.000,70.213,-85.100,70.322,77.345,-4.298,-1.131,-0.028,-0.022,473.7,401.7,35.0,465.9,412.2,-3.0,6.848,0.472,-2.516,6.762,0.591,-2.524,15.3,15.0,0.1,-91.8,-111.4,-9.2,0.536,0.496,-0.144,13.94,4.40,-7.39,7.47,2.19,1.07,15.73,5.96,1.89,0.62,0.07,0.02,686.094,673.674,2.339,304.206,26.573,-113.555,0,0,0,0
